country,iso_code,date,total_vaccinations_x,people_vaccinated_x,people_fully_vaccinated_x,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred_x,people_vaccinated_per_hundred_x,people_fully_vaccinated_per_hundred_x,daily_vaccinations_per_million,vaccines,source_name,source_website,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations_y,people_vaccinated_y,people_fully_vaccinated_y,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred_y,people_vaccinated_per_hundred_y,people_fully_vaccinated_per_hundred_y,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Algeria,DZA,1/29/2021,0.0,,,,,0.0,,,,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,Africa,Algeria,106887.0,277.0,251.857,2884.0,3.0,4.0,2437.502,6.317,5.742999999999999,65.768,0.068,0.091,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,72.22,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Algeria,DZA,1/30/2021,30.0,,,30.0,30.0,0.0,,,1.0,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,Africa,Algeria,107122.0,235.0,250.429,2888.0,4.0,3.8569999999999998,2442.861,5.359,5.711,65.859,0.091,0.08800000000000001,,,,,,,,,,,,,,,,,,,30.0,,,30.0,30.0,0.0,,,1.0,72.22,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,AND,1/25/2021,576.0,576.0,,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9596.0,47.0,73.286,97.0,1.0,0.857,124195.94900000001,608.2959999999999,948.498,1255.42,12.942,11.094000000000001,,,,,,,,,,,140701.0,1821.019,,920.0,11.907,0.08,12.6,people tested,576.0,576.0,,,,0.75,0.75,,,52.78,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/26/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9638.0,42.0,63.428999999999995,97.0,0.0,0.7140000000000001,124739.53300000001,543.5840000000001,820.922,1255.42,0.0,9.245,,,,,,,,,,,,,,875.0,11.325,0.07200000000000001,13.8,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/27/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9716.0,78.0,58.286,98.0,1.0,0.857,125749.045,1009.513,754.3610000000001,1268.362,12.942,11.094000000000001,,,,,,,,,,,,,,830.0,10.742,0.07,14.2,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/28/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9779.0,63.0,57.143,100.0,2.0,1.0,126564.421,815.3760000000001,739.57,1294.247,25.885,12.942,,,,,,,,,,,,,,785.0,10.16,0.073,13.7,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/29/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9837.0,58.0,60.143,100.0,0.0,1.0,127315.084,750.663,778.3969999999999,1294.247,0.0,12.942,,,,,,,,,,,,,,740.0,9.577,0.081,12.3,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/30/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9885.0,48.0,55.143,101.0,1.0,0.7140000000000001,127936.323,621.239,713.685,1307.19,12.942,9.245,,,,,,,,,,,,,,695.0,8.995,0.079,12.6,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,1/31/2021,,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9937.0,52.0,55.428999999999995,101.0,0.0,0.7140000000000001,128609.332,673.008,717.383,1307.19,0.0,9.245,,,,,,,,,,,,,,650.0,8.413,0.085,11.7,people tested,,,,,66.0,,,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Andorra,AND,2/1/2021,1036.0,1036.0,,,66.0,1.34,1.34,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9972.0,35.0,53.714,101.0,0.0,0.5710000000000001,129062.31800000001,452.986,695.196,1307.19,0.0,7.396,,,,,,,,,,,144933.0,1875.7910000000002,,605.0,7.83,0.08900000000000001,11.3,people tested,1036.0,1036.0,,,66.0,1.34,1.34,,854.0,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
Argentina,ARG,12/29/2020,700.0,,,,,0.0,,,,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1602163.0,11650.0,6697.714,43018.0,150.0,109.14299999999999,35449.396,257.767,148.19299999999998,951.815,3.319,2.415,1.13,,,,,,,,,38854.0,4171736.0,92.304,0.86,25131.0,0.556,0.267,3.8,people tested,700.0,,,,,0.0,,,,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Argentina,ARG,12/30/2020,,,,,15656.0,,,,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1613928.0,11765.0,7151.857,43163.0,145.0,121.286,35709.708,260.312,158.24200000000002,955.023,3.208,2.6839999999999997,1.13,,,,,,,,,42233.0,4213969.0,93.238,0.934,26142.0,0.578,0.27399999999999997,3.7,people tested,,,,,15656.0,,,,346.0,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Argentina,ARG,12/31/2020,32013.0,,,,15656.0,0.07,,,346.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1625514.0,11586.0,8807.0,43245.0,82.0,133.0,35966.059,256.351,194.863,956.837,1.814,2.943,1.13,,,,,,,,,27246.0,4241215.0,93.84100000000001,0.603,27203.0,0.602,0.324,3.1,people tested,32013.0,,,,15656.0,0.07,,,346.0,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Argentina,ARG,1/1/2021,,,,,11070.0,,,,245.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1629594.0,4080.0,7862.857,43319.0,74.0,128.143,36056.333,90.274,173.97299999999998,958.475,1.6369999999999998,2.835,1.13,,,,,,,,,7746.0,4248961.0,94.012,0.171,27479.0,0.608,0.28600000000000003,3.5,people tested,,,,,11070.0,,,,245.0,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Argentina,ARG,1/2/2021,,,,,8776.0,,,,194.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1634834.0,5240.0,8081.0,43375.0,56.0,124.85700000000001,36172.273,115.94,178.8,959.7139999999999,1.239,2.763,1.13,,,,,,,,,23873.0,4272834.0,94.541,0.528,27572.0,0.61,0.293,3.4,people tested,,,,,8776.0,,,,194.0,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
Argentina,ARG,1/3/2021,,,,,7400.0,,,,164.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1640718.0,5884.0,8203.0,43482.0,107.0,118.85700000000001,36302.462999999996,130.189,181.49900000000002,962.081,2.367,2.63,1.13,,,,,,,,,19979.0,4292813.0,94.98299999999999,0.442,28013.0,0.62,0.293,3.4,people tested,,,,,7400.0,,,,164.0,79.17,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
