country,iso_code,date,total_vaccinations_x,people_vaccinated_x,people_fully_vaccinated_x,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred_x,people_vaccinated_per_hundred_x,people_fully_vaccinated_per_hundred_x,daily_vaccinations_per_million,vaccines,source_name,source_website,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations_y,people_vaccinated_y,people_fully_vaccinated_y,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred_y,people_vaccinated_per_hundred_y,people_fully_vaccinated_per_hundred_y,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Algeria,DZA,1/29/2021,0,,,,,0,,,,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,Africa,Algeria,106887,277,251.857,2884,3,4,2437.502,6.317,5.743,65.768,0.068,0.091,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Algeria,DZA,1/30/2021,30,,,30,30,0,,,1,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,Africa,Algeria,107122,235,250.429,2888,4,3.857,2442.861,5.359,5.711,65.859,0.091,0.088,,,,,,,,,,,,,,,,,,,30,,,30,30,0,,,1,72.22,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,AND,1/25/2021,576,576,,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9596,47,73.286,97,1,0.857,124195.949,608.296,948.498,1255.42,12.942,11.094,,,,,,,,,,,140701,1821.019,,920,11.907,0.08,12.6,people tested,576,576,,,,0.75,0.75,,,52.78,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/26/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9638,42,63.429,97,0,0.714,124739.533,543.584,820.922,1255.42,0,9.245,,,,,,,,,,,,,,875,11.325,0.072,13.8,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/27/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9716,78,58.286,98,1,0.857,125749.045,1009.513,754.361,1268.362,12.942,11.094,,,,,,,,,,,,,,830,10.742,0.07,14.2,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/28/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9779,63,57.143,100,2,1,126564.421,815.376,739.57,1294.247,25.885,12.942,,,,,,,,,,,,,,785,10.16,0.073,13.7,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/29/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9837,58,60.143,100,0,1,127315.084,750.663,778.397,1294.247,0,12.942,,,,,,,,,,,,,,740,9.577,0.081,12.3,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/30/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9885,48,55.143,101,1,0.714,127936.323,621.239,713.685,1307.19,12.942,9.245,,,,,,,,,,,,,,695,8.995,0.079,12.6,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,1/31/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9937,52,55.429,101,0,0.714,128609.332,673.008,717.383,1307.19,0,9.245,,,,,,,,,,,,,,650,8.413,0.085,11.7,people tested,,,,,66,,,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Andorra,AND,2/1/2021,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,Europe,Andorra,9972,35,53.714,101,0,0.571,129062.318,452.986,695.196,1307.19,0,7.396,,,,,,,,,,,144933,1875.791,,605,7.83,0.089,11.3,people tested,1036,1036,,,66,1.34,1.34,,854,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
Argentina,ARG,12/29/2020,700,,,,,0,,,,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1602163,11650,6697.714,43018,150,109.143,35449.396,257.767,148.193,951.815,3.319,2.415,1.13,,,,,,,,,38854,4171736,92.304,0.86,25131,0.556,0.267,3.8,people tested,700,,,,,0,,,,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,12/30/2020,,,,,15656,,,,346,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1613928,11765,7151.857,43163,145,121.286,35709.708,260.312,158.242,955.023,3.208,2.684,1.13,,,,,,,,,42233,4213969,93.238,0.934,26142,0.578,0.274,3.7,people tested,,,,,15656,,,,346,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,12/31/2020,32013,,,,15656,0.07,,,346,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1625514,11586,8807,43245,82,133,35966.059,256.351,194.863,956.837,1.814,2.943,1.13,,,,,,,,,27246,4241215,93.841,0.603,27203,0.602,0.324,3.1,people tested,32013,,,,15656,0.07,,,346,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,1/1/2021,,,,,11070,,,,245,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1629594,4080,7862.857,43319,74,128.143,36056.333,90.274,173.973,958.475,1.637,2.835,1.13,,,,,,,,,7746,4248961,94.012,0.171,27479,0.608,0.286,3.5,people tested,,,,,11070,,,,245,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,1/2/2021,,,,,8776,,,,194,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1634834,5240,8081,43375,56,124.857,36172.273,115.94,178.8,959.714,1.239,2.763,1.13,,,,,,,,,23873,4272834,94.541,0.528,27572,0.61,0.293,3.4,people tested,,,,,8776,,,,194,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,1/3/2021,,,,,7400,,,,164,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1640718,5884,8203,43482,107,118.857,36302.463,130.189,181.499,962.081,2.367,2.63,1.13,,,,,,,,,19979,4292813,94.983,0.442,28013,0.62,0.293,3.4,people tested,,,,,7400,,,,164,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
Argentina,ARG,1/4/2021,39599,,,,6483,0.09,,,143,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,South America,Argentina,1648940,8222,8346.714,43634,152,109.429,36484.382,181.92,184.679,965.444,3.363,2.421,1.14,,,,,,,,,40584,4333397,95.881,0.898,28645,0.634,0.291,3.4,people tested,39599,,,,6483,0.09,,,143,79.17,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
